,Name of Chess Player,Country of Chess Player,Title of Chess Player,Rating,Description
23,Le Quang Liem,Vietnam,GM,2728,"Le Quang Liem is a Vietnamese grandmaster well known for his speed chess skills. He is best known for winning the World Blitz Chess Championship in 2013 ahead of several elite players.

Liem is known to have an extremely sharp tactical eye and many notable games in that area. He has also won several..."
24,Parham Maghsoodloo,Iran,GM,2728,"Iranian GM Parham Maghsoodloo has achieved an impressive chess career in a short amount of time. He’s a two-time Iranian national champion and the highest-rated player in the country. In 2018, he won the World Junior Chess Championship.
Now no longer a junior, Maghsoodloo seems poised to make..."
25,Magnus Carlsen,Norway,GM,2852,"GM Magnus Carlsen is the current world chess champion. To many people, he’s the best to ever play the game, although GMs Garry Kasparov and Bobby Fischer remain in the conversation. At any rate, the clear and remarkable point is that before turning 30 years old, Carlsen has already earned..."
26,Ian Nepomniachtchi,Russia,GM,2793,"GM Ian Nepomniachtchi (“Nepo” for short) is a Russian super grandmaster who won the 2020-21 Candidates Tournament and challenged GM Magnus Carlsen for the 2021 World Championship.
Nepomniachtchi has a terrific overall record against world champions. At standard time controls, he has positive..."
27,Ding Liren,China,GM,2788,"Ding Liren is a Chinese super grandmaster who will play against GM Ian Nepomniachtchi in the 2023 World Championship.
Ding won his first Chinese Chess Championship at the age of 16, making him the youngest to ever do so. In the 2017 and 2019 Chess World Cup, he became the first player in history to..."
28,Alireza Firouzja,France,GM,2785,"Alireza Firouzja is an Iranian-born grandmaster who now plays for France. He is a world championship candidate and two-time Iranian champion.
In late 2019 and early 2020, Firouzja electrified the chess world with his second place finish in the World Rapid Championship (one point behind World Champion..."
29,Anish Giri,Netherlands,GM,2780,"GM Anish Giri is a four-time Dutch champion and a world-class player. He has been ranked as high as number three in the world and reached his peak rating of 2802 on February 15, 2015. Giri has represented the Netherlands at the Olympiads since 2010. He won the 2012 Reggio Emilia tournament and the 2017..."
30,Hikaru Nakamura,United States,GM,2768,"Hikaru Nakamura was born December 9, 1987 in Hirakata, Japan. His family moved to the United States when he was just two years old, and the Stars and Stripes are the only national banner he has known as a chess player. 
Nakamura has been one of the world’s top players for well over a decade...."
31,Fabiano Caruana,United States,GM,2766,"The prodigy who broke the record held by GM Hikaru Nakamura for America's youngest chess grandmaster, Fabiano Caruana, has climbed the mountain of chess and reached the summit. This grandmaster has had a ranking as high as number-two in the world and has won numerous tournaments in his career. In 2018..."
32,Wesley So,United States,GM,2766,"Wesley So is a Filipino-American super grandmaster who is among the world’s best chess players. He began as a chess prodigy who entered tournaments at nine years old. At 14, he became the ninth youngest GM in history. The next year, he became the youngest player to pass the 2600 rating threshold,..."
33,Viswanathan Anand,India,GM,2754,"In this Indian name, the name Viswanathan is a patronymic, and the person should be referred to by the given name, Anand.Viswanathan Anand, the 15th undisputed chess champion and surely the greatest Indian chess player of all time, was born on Dec. 11, 1969 in Mayiladuthurai in Tamil Nadu, the southeasternmost..."
34,Sergey Karjakin,Russia,GM,2747,"Sergey Karjakin is an elite chess player who broke the record of youngest-ever GM at 12 years and seven months of age in 2003. Karjakin held his record until 2021 when GM Abhimanyu Mishra broke his record. Most notably, he pushed GM Magnus Carlsen—typically considered one of the two..."
35,Teimour Radjabov,Azerbaijan,GM,2747,"Teimur Radjabov was born in Baku, Azerbaijan—the same city as former world champion Garry Kasparov—on March 12, 1987. Radjabov’s promising youth career translated into runs at the FIDE world championship in his teens and the reunified championship in the 2010’s. 
Radjabov’s..."
36,Alexander Grischuk,FIDE,GM,2745,"Alexander Grischuk is a Russian super grandmaster who is consistently among the world’s best players. While he’s an elite professional chess player, Grischuk is well-known for being one of the top blitz players. He’s a three-time World Blitz Champion, making him only one of two players..."
37,Leinier Dominguez Perez,United States,GM,2743,"Leinier Dominguez Perez is a Cuban-American grandmaster who has been a top-10 player in the world and usually sits in the top 15. Born in Havana in 1983, he earned his GM title in 2001, won his first of five Cuban Chess Championships in 2002, and reached a 2700 rating in 2008. Dominguez was also Cuban..."
38,Shakhriyar Mamedyarov,Azerbaijan,GM,2740,"Shakhriyar Mamedyarov is a super-grandmaster from Azerbaijan. He was the number-two ranked player in the world in the FIDE ratings list of February 2018. According to 2700chess.com, Mamedyarov reached his peak rating of 2826 on September 30, 2018—the sixth-highest rating of all time.
Mamedyarov..."
39,Richard Rapport,Romania,GM,2740,"Richard Rapport is a Hungarian-Romanian grandmaster and a runner-up in the FIDE Grand Prix 2022, which secured him a place at the FIDE Candidates Chess Tournament 2022. 
This former chess prodigy also possesses a uniquely creative opening approach combined with an exquisite positional style...."
40,Maxime Vachier-Lagrave,France,GM,2737,"Maxime Vachier-Lagrave (also known as “MVL”) is a French super grandmaster who, since 2016, has spent plenty of time rated among the top five chess players in the world. His rating peaked at 2819 in August 2016, making him the seventh-highest rated player in history.
Vachier-Lagrave is a..."
41,Levon Aronian,United States,GM,2736,"Levon Aronian is an Armenian-American super grandmaster who has long been among the world’s best players. He first entered the top 20 in 2005 and still hasn’t lost that distinction. Most of those 15 years or so have been spent in the top 10. In 2021, he switched federations from Armenia..."
42,Nodirbek Abdusattorov,Uzbekistan,GM,2734,"Nodirbek Abdusattorov is an Uzbek grandmaster who won the 2021 World Rapid Championship and played on the first board for team Uzbekistan that won the 44th FIDE Chess Olympiad. He did both when 17 years old, becoming the youngest player ever to do so. 
Abdussatorov's first major success was the..."
43,Vidit Santosh Gujrathi,India,GM,2730,"In this Indian name, the name Gujrathi is a patronymic, and the person should be referred to by the given name, Vidit.Vidit Gujrathi is an Indian super GM who has won the under-14 world championship, 2018 Tata Steel Challengers, and the 2019 Biel tournament. 

Early Life And Career
Career From..."
44,Yu Yangyi,China,GM,2729,"Yu Yangyi is a Chinese super-grandmaster and world-class player. He was the World U-10 Champion (2004), the World Junior Champion (2013), the Chinese Champion (2013), as well as the Asian Continental Champion (2014). 
He has won multiple international events and is a particularly strong rapid and..."
45,Jan-Krzysztof Duda,Poland,GM,2729,"GM Jan-Krzysztof Duda is one of the youngest members of the 2700 club of super grandmasters (reached in 2017), having turned 22 years old in April 2020. The latest in a history of strong GMs from Poland, he plays on Chess.com as Polish_fighter3000.
Duda won the 2021 FIDE World Cup, earning himself a..."
46,Dmitry Andreikin,FIDE,GM,2729,"Dmitry Andreikin is a Russian super GM and a two-time Russian champion. He had a highly successful early career and became a GM at age 17. Andreikin’s top success, as of 2020, came at the 2013 World Cup where he was a finalist and qualified as a candidate for the world championship.
A top-30 player..."
47,Veselin Topalov,Bulgaria,GM,2728,"GM Veselin Topalov is a Bulgarian super-grandmaster and was the FIDE world champion in 2005. He was the world number-one player from April 2006 through January 2007 and again from October 2008 until January 2010. According to 2700chess.com, he reached his peak rating of 2826 on August 24, 2015—the..."
48,Le Quang Liem,Vietnam,GM,2728,"Le Quang Liem is a Vietnamese grandmaster well known for his speed chess skills. He is best known for winning the World Blitz Chess Championship in 2013 ahead of several elite players.

Liem is known to have an extremely sharp tactical eye and many notable games in that area. He has also won several..."
49,Parham Maghsoodloo,Iran,GM,2728,"Iranian GM Parham Maghsoodloo has achieved an impressive chess career in a short amount of time. He’s a two-time Iranian national champion and the highest-rated player in the country. In 2018, he won the World Junior Chess Championship.
Now no longer a junior, Maghsoodloo seems poised to make..."
50,Nikita Vitiugov,FIDE,GM,2723,"Nikita Vitiugov, a Russian grandmaster and author, is currently among the top-50 players in the world (as of February 2021). Vitiugov tied for first in the U18 European Championship in 2005, won the U18 Russian Championship in 2005, and tied for first in the U20 Russian Championship in 2006 and 2007...."
51,Wang Hao,China,GM,2722,"GM Wang Hao is a super grandmaster who was a candidate for the world championship in 2020, which he achieved by winning the 2019 FIDE Chess.com Grand Swiss. He had a fantastic youth career that culminated in winning the seventh Dubai Open at the age of 16, when he topped several dozen GMs and IMs as..."
52,Wei Yi,China,GM,2722,"Chinese GM Wei Yi is an elite player and one of the greatest chess prodigies in history. At the age of 15, he broke GM Magnus Carlsen’s record for the youngest player to reach a rating of 2700, which Wei still holds. Two years prior, he became the fourth-youngest GM in history at the time (now..."
53,Gukesh D,India,GM,2718,"In this Indian name, the name Dommaraju is his father's name, and the person should be referred to by the given name, Gukesh.Indian GM Dommaraju Gukesh is a young chess prodigy. He’s best known for becoming the second-youngest grandmaster in history. The accomplishment came in January 2019, when..."
54,Sanan Sjugirov,Russia,GM,2712,Sanan Sjugirov is a Russian grandmaster who has won two world youth titles. He won the U10 World Youth Chess Championship in 2003 and claimed the U14 category championship in 2007. Sjugirov also won the U12 European Youth Chess Championships in 2004 and 2005 before adding the U14 category championship...
55,Samuel Shankland,United States,GM,2710,"Samuel L. “Sam” Shankland was born October 1, 1991 in Berkeley, California. He has represented the country of his birth his entire chess career, a relative rarity for American grandmasters of the past 40 years.

  
Your browser does not support the audio element.

Making IM and GM
2016 Chess..."
56,Francisco Vallejo Pons,Spain,GM,2710,"Francisco Vallejo Pons (nickname “Paco”) is a five-time Spanish chess champion. He won in 2006, 2009, and the three consecutive years of 2014-16. He was also a regular at the Linares super-tournament as the host national favorite. 
Vallejo is a member of the 2700-rating club and remains..."
57,Daniil Dubov,Russia,GM,2708,"Daniil Dubov is a Russian grandmaster and world-class player. He finished tied for first place in the 2015 Aeroflot Open and broke onto the international chess scene when he won third place at the 2016 World Blitz Championship.
Dubov was one of World Champion Magnus Carlsen's seconds for the 2018 World..."
58,Pavel Eljanov,Ukraine,GM,2706,"Pavel Eljanov is a Ukrainian grandmaster who has served as a second (assistant) for many elite players, including GMs Magnus Carlsen, Boris Gelfand, and Mariya Muzychuk.
Early in his career, Eljanov was on the team that won the U16 Chess Olympiad in 1999. Years later, he won two team..."
59,Hans Moke Niemann,United States,GM,2706,"Hans Niemann is an American grandmaster and chess streamer. Neimann quickly rose through the ranks of chess, earning his FIDE master title in 2016, only four years after his first rated tournament where he had received a provisional US Chess rating of just 1122. He tied for first in the U-18 North..."
60,Pentala Harikrishna,India,GM,2705,"In this Indian name, the name Pentala is a patronymic, and the person should be referred to by the given name, Harikrishna.Pentala Harikrishna is an Indian grandmaster and one of the best chess players in that nation’s history.

  
Your browser does not support the audio element.

Early Life And..."
61,Ray Robson,United States,GM,2702,"Ray Robson is an American grandmaster from Guam who had one of the country’s most successful youth careers, achieving his GM norms and 2500 rating in 2009 when he was still just 14 years old. As an adult, Robson’s tournament highlights include the 2015 U.S. Championship, where he finished..."
62,Vladislav Artemiev,Russia,GM,2701,"Russian GM Vladislav Artemiev is undoubtedly one of the best young chess players. Ranked fourth in the world for all players age 25 and younger at the time of publishing, the 22-year-old and former prodigy broke into the upper echelon of elite chess in 2019 when in June he became one of the top-10 ranked..."
63,Arjun Erigaisi,India,GM,2701,"In this Indian name, the name Erigaisi is a patronymic, and the person should be referred to by the given name, Arjun.Arjun Erigaisi is an Indian grandmaster. He earned that title in 2018 when he was still just 14 years old. Erigaisi was runner-up in the under-14 division at the 2017 World Youth..."
64,Bogdan-Daniel Deac,Romania,GM,2700,"Bogdan-Daniel Deac is a Romanian grandmaster. He earned the title at 14 years, seven months, and 27 days of age, placing him on the list of the youngest grandmasters in history. At the 2017 Tradewise Gibraltar Tournament, the 15-year-old prodigy finished in the top 25 of the elite, 250-player open event...."
65,Gabriel Sargissian,Armenia,GM,2699,"Gabriel Sargissian is an Armenian grandmaster who won three Olympic gold medals with his national team. 
As a young player, Sargissian won the Under-14 World Youth Chess Championship in 1996. He won bronze at the European Junior Chess Championship in 1998 and the individual European championship..."
66,Bu Xiangzhi,China,GM,2698,"Bu Xiangzhi is a Chinese chess champion and was for a time the youngest GM in history; as of June 2020, he is still the 10th-youngest player to ever become GM. He was also China’s 10th-ever GM.
Bu has been a member of the 2700-rating club off and on since April 2008 and every month since June..."
67,Evgeny Tomashevsky,Russia,GM,2694,"Nicknamed ""the Professor"" among his colleagues, Evgeny Tomashevsky is a Russian super GM and two-time national champion.

  
Your browser does not support the audio element.

Early Life And Career
GM
World Championship Cycle
Russian Champion

Early Life And Career
Born on July 1, 1987 in Saratov on..."
68,Matthew D Sadler,England,GM,,"Matthew Sadler is an English grandmaster, chess author, and one of his country's best players. He became an international master at the age of 14 and a grandmaster at 19. He reached his peak FIDE rating of 2694 in 2020, after returning from a hiatus that lasted from 1999 to 2010.
Sadler won the British..."
69,Jeffery Xiong,United States,GM,2692,"American GM Jeffery Xiong has completed an impressive career as an elite junior chess player. For starters, he’s the third-youngest U.S. player to qualify for the grandmaster title. His array of accomplishments spans winning the world under-10 championship in 2010, taking the world junior championship..."
70,Vincent Keymer,Germany,GM,2690,"Vincent Keymer is a German grandmaster and the youngest from his country to earn the title. At the 2018 Grenke Open, the 13-year-old prodigy won the event ahead of 49 GMs (including four rated 2700+) with an 8/9 score, which secured his first GM norm and shocked the chess world. Keymer’s performance..."
71,Praggnanandhaa Rameshbabu,India,GM,2690,"In this Indian name, the name Rameshbabu is his father's name, and the person should be referred to by the given name, Praggnanandhaa.Praggnanandhaa Rameshbabu is an Indian grandmaster and the fourth-youngest GM in history (as of April 2021). He earned the title at 12 years, 10 months, and 13 days of..."
72,Michael Adams,England,GM,2688,"Michael “Mickey” Adams is a British chess grandmaster, one of the United Kingdom's and England’s greatest-ever players. Per his website, he has finished first or tied for first in at least 60 events in his chess career.

  
Your browser does not support the audio element.

Early Life..."
73,Bassem Amin,Egypt,GM,2688,"Basseem Amin is an Egyptian grandmaster and six-time African Chess Champion. He also has three Arab Chess Championships, multiple African and Arab youth titles, and three bronze medals in the World Youth/Junior Chess Championships. Amin is the highest-rated player not only in Egypt but in Africa as..."
74,Sam Sevian,United States,GM,2687,"Samuel Sevian is an American grandmaster who gained notoriety as a chess prodigy. In 2014, he became the youngest ever-American to earn his GM title at 13 years, 10 months, and 27 days—and still retains a top spot on the list of the youngest chess grandmasters overall. He’s also the youngest..."
75,Jorden van Foreest,Netherlands,GM,2687,"Jorden van Foreest is a Dutch grandmaster and the Dutch Chess Champion of 2016. He is best known for winning the Tata Steel Masters in 2021. He’s the youngest Dutch GM in history and currently ranked second in the country (March 2021).

  
Your browser does not support the audio element.

Early..."
76,Radoslaw Wojtaszek,Poland,GM,2686,"GM Radoslaw Wojtaszek is a super GM and three-time Polish chess champion (2005, 2014, 2016). He worked closely with GM Viswanathan Anand during Anand’s world championship matches. Wojtaszek is married to fellow chess player IM Alina Kashlinskaya.

  
Your browser does not support the audio element.

Early..."
77,Kirill Alekseenko,FIDE,GM,2686,"Kirill Alekseenko is a young Russian GM who earned his wild card to the 2020 FIDE Candidates Tournament after taking third place at FIDE Chess.com Grand Swiss in 2019.

  
Your browser does not support the audio element.

Early Life And Career
Adult Career
The Road to Candidates
Present And..."
78,Haik Martirosyan,Armenia,GM,2686,"Haik Martirosyan is an Armenian grandmaster. The European under-12 champion in 2011 and under-14 champion in 2013, Martirosyan was the under-16 world youth champion in 2016 and Armenian chess champion in 2018. 
A strong blitz player, Martirosyan participated in the 2020 Speed Chess Championship..."
79,David Navara,Czech Republic,GM,2685,"David Navara may be the strongest Czech player ever. Not only is he the country’s highest rated player, but he has won nine national titles, which is more than anyone in the tournament’s 114-year history. Navara became an IM at 14 and a GM at 16. At Wijk aan Zee in 2007, he beat Magnus Carlsen..."
80,Alexandr Predke,FIDE,GM,2684,"Alexandr Predke is a Russian grandmaster who won the U16 Russian Youth Chess Championship in 2010. He placed third in the 2014 Russian Junior Championship (U20), and then in 2017, finished second in the Lev Polugaevsky Memorial tournament. In September 2019, he made his first appearance in the world’s..."
81,Jules Moussard,France,GM,2684,Full bio coming soon...
82,Peter Svidler,Russia,GM,2683,"Peter Svidler is an eight-time chess champion of Russia and a three-time candidate for the world championship. He came closest to becoming world champion with a second-place finish in FIDE’s 2005 championship tournament.

  
Your browser does not support the audio element.

Early Life And Career
The..."
83,Dmitry Jakovenko,Russia,GM,,"One of the best players in Russia and one of the elite players in the world, Grandmaster Dmitry Jakovenko has scaled the chess mountain all the way to the top. His Karpov-like positional style and penchant for the endgame have helped him to win many tournaments and rise to the top of the rating charts...."
84,David Anton Guijarro,Spain,GM,2679,"David Anton Guijarro is a grandmaster and one of the best players in Spain. In March 2020 he crossed the 2700-rating mark, a feat that only a few players ever achieve.
Anton Guijarro won the bronze medal at the 2012 U-16 European Championship and silver at the 2013 U-18 World Championship. He has won..."
85,Rustam Kasimdzhanov,Uzbekistan,GM,2678,"Uzbek GM Rustam Kasimdzhanov is perhaps best known as the 2004 FIDE world champion, earning the title in a knockout tournament. Despite being seeded 28th, Kasimdzhanov defeated number-five seed GM Vassily Ivanchuk in round three, number-four GM Alexander Grischuk in the quarterfinal, number-one GM Veselin..."
86,Zoltan Almasi,Hungary,GM,2677,"Zoltan Almasi is a Hungarian grandmaster and one of the best players in his country. He has represented Hungary in the Olympiads 13 times and has won the Hungarian chess championship nine times (1995, 1997, 1999, 2000, 2003, 2006, 2008, 2009, and 2019).
Almasi also won the 2008 Reggio Emilia tournament..."
87,Saleh Salem,United Arab Emirates,GM,2677,"Salem Saleh is a grandmaster from the United Arab Emirates. He has four national Emirati Chess Championships, three international Arab Chess Championships, and two Arab Individual Blitz Chess Championships. In 2015, he won the Asian Chess and Asian Blitz Championships. He has currently matched his peak..."
88,Amin Tabatabaei,Iran,GM,2677,"Amin Tabatabaei is an Iranian grandmaster and the winner of the 2019 Biel Master Open tournament. His win came by half a point over a group of seven players in second place, including GMs Jeffery Xiong and Gata Kamsky. Earlier in his career, Tabatabaei won silver at the 2014 World U14 Championship...."
89,Andrey Esipenko,FIDE,GM,2675,"Andrey Esipenko is a Russian grandmaster. He won the European U10 Chess Championship in 2012. In 2017, he won the European U16 Chess Championship and the World U16 Chess Championship. At the 2021 Tata Steel Chess Tournament, the 18-year-old beat World Champion Magnus Carlsen in their first encounter,..."
90,Vladimir Fedoseev,FIDE,GM,2674,"Vladimir Fedoseev is a Russian chess grandmaster and one of the world’s top-100 players. He is a Chess.com streamer at twitch.tv/bigfish1995.

  
Your browser does not support the audio element.

Early Life And Career
Grandmaster
Greatest Year
Recent Record

Early Life And Career
Fedoseev was..."
91,Igor Kovalenko,Ukraine,GM,2674,"Igor Kovalenko is a Ukrainian chess grandmaster. He earned his title in 2011 and from 2013-21 represented Latvia, where he won the national championship in 2013 and 2014. Kovalenko has been volunteering in Kyiv, Ukraine in 2022."
92,Li Chao,China,GM,2672,"Li Chao is a Chinese grandmaster. He won the 2013 Asian Chess Championship and has had several top finishes in high-level tournaments around the world, such as his undefeated win at the Reykjavik Open in 2014. Li spent a considerable amount of time in 2015 and 2016 ranked in the world’s top-15..."
93,Boris Gelfand,Israel,GM,2670,"Soviet-born Israeli GM Boris Gelfand is a longtime elite chess player. His staying power as a top player is legendary, as he has spent most of his life ranked among the top-20 players in the world. He was ranked in the top 30 for nearly 27 years (January 1990 to October 2017).
Gelfand nearly defeated..."
94,David Howell,England,GM,2670,"David Howell is an English grandmaster and three-time British chess champion. He set several records as a chess prodigy, including being the youngest Briton to earn the GM title. Howell remains active as a player, columnist, and commentator.

Early Chess Career (1996 To 2008)
Multiple-Time British Champion..."
95,Nihal Sarin,India,GM,2670,"In this Indian name, the name Sarin is a patronymic, and the person should be referred to by the given name, Nihal.Nihal Sarin is an Indian chess prodigy who became a grandmaster at the age of 14 and is currently in the top 10 players of his country (as of April 2021). In 2013, Nihal won the U-10 World..."
96,Wang Yue,China,GM,,"Wang Yue is a Chinese grandmaster who holds two national championships. He’s the first Chinese player to make the top 10 of the FIDE world rankings and the first to achieve a rating of 2700. For five years, Wang was the highest-ever rated player in Chinese chess history.

Early Chess Career (1992..."
97,Narayanan Sunilduth Lyna,India,GM,2669,"In this Indian name, S L stands for Sunilduth Lyna which is his father's name, and the person should be referred to by the given name, NarayananS.L. Narayanan is an Indian grandmaster who won the Asian U-16 title in 2012. He also won the gold medal in the Asian Junior Blitz Chess Championship in 2016..."
98,Alexey Sarana,FIDE,GM,2668,"Alexey Sarana is a Russian grandmaster and top-10 ranked junior (as of February 2021). In 2018, the 18-year-old won the Russian Championship Higher League after sharing first place with GM Grigoriy Oparin and beating him on tiebreaks. Sarana shared first place at the same tournament yet again in 2019,..."
99,Ni Hua,China,GM,2667,"Ni Hua is a Chinese grandmaster and captain of the national team. Ni won the national championship in three consecutive years, and, along with GM Bu Xiangzhi in April 2008, the two became the second and third Chinese players to pass the 2700-rating barrier (after GM Wang Yue). Ni played board four for..."
100,Andrei Volokitin,Ukraine,GM,2667,"Andrei Volokitin is a Ukrainian grandmaster and two-time national champion. He won silver and bronze medals at the World Chess Championship in the under-12 and under-14 categories, and was part of the gold-medal winning Ukrainian national youth team at the Under-16 Chess Olympiad in 1999.
Two years..."
101,Grigoriy Oparin,Russia,GM,2667,"Grigoriy Oparin is a Russian chess player who earned his grandmaster title in 2013. He was Russia's 2014 junior champion.
Oparin nearly qualified for the 2022 Candidates Tournament by tying GM Fabiano Caruana for second place at the 2021 Riga Grand Swiss. However, he finished in third place because..."
102,Alexei Shirov,Spain,GM,2666,"Alexei Shirov is a Latvian grandmaster who plays for Spain. In 1994 he was the number-two player in the world. Shirov defeated GM Vladimir Kramnik in a match in 1998 to become the challenger to GM Garry Kasparov for the classical world championship, but this match never took place.
Shirov has participated..."
103,Evgeniy Najer,Russia,GM,2666,"Evgeniy Najer is a Russian grandmaster who became the European champion in 2015. In August 2017, he achieved his peak rating of 2707 and peak world ranking of 39. He’s had several open tournament wins, perhaps most notably back-to-back victories at the World Open in Philadelphia in 2008 and 2009...."
